Reaction	Count
['[H][C]1([H])[O][C]([O][Li][O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][O][Li]']	3
['[O]=[C]1[O][Li]12[Li][O]2'] -> ['[Li][O][Li]1[O][C]1=[O]']	3
['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]'] -> ['[H][C]([H])[C]([H])([H])[O][C](=[O])[O][Li]']	2
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]2([Li][O]2)[O]1']	2
['[H][C]1([H])[O][C]([O][Li][O][C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]=[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	2
['[Li]1[Li][O]2[Li][O]3[Li][O]1[C]23'] -> ['[Li]1[O]2[Li][O]34[Li][Li]3[O]1[C]24']	2
['[Li]1[O][C]2[O]1[Li][O]21[Li][Li]1'] -> ['[Li][O]1([Li])[Li][O]2[Li][O][C]21']	2
['[Li][O]1([Li])[Li][O]2[Li][O][C]21'] -> ['[Li][O]([Li])([Li])[C]1[O][Li][O]1']	2
['[Li][O]1([Li])[Li][O]2[Li][O][C]21'] -> ['[Li]', '[Li][O]1[Li][O]2[Li][O][C]12']	2
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]=[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	2
['[Li][O]1([Li])[Li][O]2[Li][O][C]21'] -> ['[Li][O]1[Li][O]2[Li][O]([Li])[C]12']	2
['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	2
['[H][C]1([H])[O][C]([O]([Li])[Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	2
['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])[O]']	2
['[H][C]1([H])[O][C](=[O])=[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]']	2
['[Li][O][C]1[O][Li][O]1'] -> ['[Li][O][C]([O])[O][Li]']	2
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li])[O]([Li])[C]1([H])[H]']	2
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]', '[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]']	2
['[H][C]([H])[C]([H])([H])[O][C]([O][Li])[O][Li]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O]1[Li][O][C]1[O]']	2
['[Li][O]1[Li][O][C]1[O]'] -> ['[Li][O]1[Li][O][C]1=[O]']	2
['[Li][O][C]12[O][Li]1[O]2[Li]'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	2
['[Li]1[O]=[C]23[O][Li]2[O]13'] -> ['[Li][O]1[Li]2[O][C]21[O]']	2
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C](=[O])[O][Li]']	2
['[H][C]([H])[C]([H])([H])[O][C](=[O])[O][Li]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	2
['[H][C]1([H])[O][C]2([O][Li])[O][C]12([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]']	2
['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	2
['[Li][O]1[Li][O]2[Li][O][C]12'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	2
['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	2
['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	2
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O][Li])[O][C]1([H])[H]']	2
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O]1[Li][O][C]1[O]']	2
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])=[O][C]1([H])[H]']	2
['[H][C]1([H])[O][C]([O][Li])=[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	2
['[Li]1[O][C]2([Li][O]2)[O]1'] -> ['[Li][O][C]1[O][Li][O]1']	2
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li]', '[O][C]1[O][Li][O]1']	2
['[Li][O][C]1[O][Li][O]1[Li]'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	2
['[Li][O]1[Li][O]2[Li][O][C]12'] -> ['[Li][O]([Li])[C]1[O][Li][O]1']	2
['[Li][O][C]1[O]([Li])[Li][O]1[Li]'] -> ['[Li][O]1[Li][O]2[Li][O]([Li])[C]12']	2
['[H][C]1([H])[O][C]([O][Li][O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li][O][Li]']	2
['[H][C]1([H])[O][C]([O][Li][O]2[Li][O]3[Li]4[O][C]423)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]23[O][Li]2[O]3)[O][C]1([H])[H]']	2
['[H][C]1([H])[O][C]([O][Li]2[O][C]34[O][Li]3[O]24)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]1[O][C]23[O][Li]2[O]13']	2
['[H][C]([H])[C]([H])([H])[O][C]12[O][Li]1[O]2'] -> ['[H][C]([H])[C]([H])[H]', '[O][C]12[O][Li]1[O]2']	2
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]23[O][Li]2[O]3[C]1([H])[H]']	2
