Reaction	Count
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]', '[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]']	1
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]', '[O]=[C]1[O][Li][O]1']	1
['[Li]', '[O]=[C]1[O][Li][O]1'] -> ['[Li][O][C]1[O][Li][O]1']	1
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]23[O][Li][O]2[C]13([H])[H]']	1
['[H][C]1([H])[O][C]23[O][Li][O]2[C]13([H])[H]'] -> ['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]']	1
['[Li][O]1[Li]2[O][C]21=[O]'] -> ['[Li][O]1[Li][O][C]1[O]']	1
['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]'] -> ['[H][C]1([H])[O][C]23[O][Li][O]2[C]13([H])[H]']	1
['[H][C]1([H])[O][C]23[O][Li][O]2[C]13([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li])[O][C]12([H])[H]']	1
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]']	1
['[Li][O]1[Li][O]2[Li]3[O][C]312'] -> ['[Li][O]1[Li][O]2[Li][C]12[O]']	1
['[Li][O]1[Li][O]2[Li][C]12[O]'] -> ['[Li][O][C]([O])[O]([Li])[Li]']	1
['[Li][O][C]([O])[O]([Li])[Li]'] -> ['[Li][O]1[Li][O]([Li])[C]1[O]']	1
['[Li][O]1[Li][O]([Li])[C]1[O]'] -> ['[Li][O]1[Li][O]2[Li][C]12[O]']	1
['[Li][O]1[Li][O]2[Li][C]12[O]'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	1
['[Li]1[O]=[C]23[O][Li]2[O]13'] -> ['[Li]1[O][C]2=[O][Li][O]12']	1
